,state,category_id
0,Acapulco,95
1,Acapulco,102
2,Acapulco,104
3,Acapulco,160
5,Aguascalientes,94
13,Aguascalientes,102
20,Aguascalientes,109
21,Aguascalientes,110
23,Aguascalientes,112
24,Aguascalientes,113
31,Aguascalientes,120
33,Aguascalientes,122
35,Aguascalientes,125
38,Aguascalientes,128
39,Aguascalientes,129
43,Aguascalientes,133
44,Aguascalientes,134
45,Aguascalientes,135
46,Aguascalientes,136
47,Aguascalientes,137
48,Aguascalientes,138
49,Aguascalientes,139
50,Aguascalientes,140
51,Aguascalientes,141
52,Aguascalientes,142
53,Aguascalientes,143
54,Aguascalientes,144
55,Aguascalientes,145
56,Aguascalientes,147
57,Aguascalientes,148
58,Aguascalientes,149
59,Aguascalientes,150
60,Aguascalientes,151
61,Aguascalientes,152
62,Aguascalientes,153
63,Aguascalientes,154
64,Aguascalientes,155
65,Aguascalientes,156
66,Aguascalientes,157
70,Aguascalientes,163
71,Aguascalientes,164
75,Aguascalientes,172
76,Aguascalientes,173
77,Aguascalientes,174
78,Aguascalientes,175
87,Aguascalientes,186
88,Aguascalientes,192
89,Aguascalientes,193
91,Aguascalientes,195
92,Aguascalientes,197
93,Aguascalientes,198
94,Aguascalientes,199
95,Aguascalientes,202
97,Aguascalientes,204
98,Aguascalientes,205
101,Aguascalientes,213
103,Aguascalientes,215
104,Aguascalientes,216
106,Aguascalientes,218
109,Aguascalientes,222
110,Aguascalientes,224
111,Aguascalientes,225
112,Aguascalientes,226
113,Aguascalientes,227
116,Aguascalientes,231
118,Aguascalientes,235
119,Aguascalientes,238
120,Aguascalientes,249
121,Aguascalientes,250
122,Aguascalientes,253
125,Aguascalientes,258
126,Aguascalientes,259
130,Aguascalientes,264
131,Aguascalientes,265
132,Aguascalientes,266
133,Aguascalientes,267
134,Aguascalientes,268
135,Aguascalientes,271
136,Aguascalientes,276
137,Aguascalientes,280
138,Aguascalientes,283
139,Aguascalientes,284
140,Aguascalientes,285
141,Aguascalientes,286
142,Aguascalientes,287
143,Aguascalientes,289
144,Aguascalientes,290
155,Baja California,102
170,Baja California,117
173,Baja California,120
176,Baja California,123
177,Baja California,124
178,Baja California,125
187,Baja California,134
188,Baja California,135
189,Baja California,136
190,Baja California,137
191,Baja California,138
192,Baja California,139
193,Baja California,140
194,Baja California,141
195,Baja California,142
196,Baja California,143
197,Baja California,144
198,Baja California,145
199,Baja California,147
200,Baja California,148
201,Baja California,149
208,Baja California,156
209,Baja California,157
210,Baja California,159
212,Baja California,163
